Instability,Abstractness
0.800000,0.052632 
0.866667,0.666667 
0.958874,0.166667 
0.611111,0.000000 
0.928571,0.000000 
0.800000,0.750000 
0.938462,0.000000 
1.000000,0.000000 
0.982456,0.000000 
0.825000,0.333333 
0.903743,0.000000 
0.666667,0.000000 
0.956522,0.000000 
0.916667,0.000000 
0.894737,0.000000 
0.800000,0.000000 
0.333333,0.000000 
0.666667,0.000000 
0.857143,0.000000 
0.875000,0.000000 
1.000000,0.000000 
0.928571,0.000000 
0.800000,0.000000 
0.800000,1.000000 
0.865979,0.076923 
0.900763,0.166667 
0.923077,0.000000 
0.854167,0.064935 
1.000000,0.000000 
1.000000,0.000000 
1.000000,0.000000 
0.979452,0.250000 
0.933333,0.200000 
0.900000,0.000000 
0.818182,0.000000 
0.922280,0.060606 
0.944444,0.000000 
1.000000,0.000000 
1.000000,0.000000 
1.000000,0.000000 
1.000000,0.000000 
0.777778,0.000000 
1.000000,0.000000 
0.758621,0.058824 
0.764706,0.000000 
0.714286,0.000000 
0.806452,0.000000 
0.898305,0.300000 
0.750000,0.000000 
0.906667,0.062500 
1.000000,0.000000 
0.842105,0.000000 
1.000000,0.000000 
1.000000,0.000000 
1.000000,0.000000 
1.000000,0.000000 
0.833333,0.000000 
0.833333,0.000000 
0.000000,0.000000 
0.944444,0.000000 
0.843750,0.000000 
0.833333,0.000000 
1.000000,0.000000 
0.946429,0.000000 
0.500000,0.000000 
0.750000,0.250000 
1.000000,0.000000 
1.000000,0.000000 
0.969697,0.000000 
0.880342,0.941176 
0.942529,0.000000 
0.739130,0.833333 
0.920000,0.000000 
1.000000,0.000000 
1.000000,0.000000 
1.000000,0.000000 
1.000000,0.000000 
0.333333,0.000000 
0.821429,0.033333 
0.929487,0.000000 
0.846154,0.000000 
0.600000,0.117647 
0.888889,0.000000 
0.166667,0.000000 
0.500000,1.000000 
0.869565,0.000000 
0.500000,0.000000 
0.692308,0.000000 
0.555556,0.000000 
0.250000,0.222222 
0.631579,0.200000 
0.693182,0.178571 
0.808081,0.000000 
1.000000,0.000000 
0.400000,0.000000 
1.000000,0.000000 
0.900000,0.000000 
0.692308,0.111111 
0.571429,0.250000 
0.000000,0.375000 
0.844444,0.027778 
1.000000,0.000000 
0.333333,0.181818 
0.000000,0.000000 
0.500000,0.000000 
0.750000,1.000000 
0.833333,0.000000 
0.846154,0.000000 
0.750000,0.000000 
0.900000,0.000000 
0.857143,0.000000 
1.000000,0.000000 
1.000000,0.000000 
0.687500,0.333333 
0.857143,0.000000 
0.733333,0.000000 
1.000000,0.000000 
0.700000,0.000000 
0.884615,0.000000 
0.750000,0.000000 
0.923077,0.000000 
1.000000,0.000000 
0.666667,0.000000 
0.909091,0.142857 
0.857143,0.000000 
0.727273,0.034483 
0.000000,0.000000 
0.000000,0.833333 
1.000000,0.000000 
1.000000,0.000000 
0.630435,0.157895 
0.666667,0.000000 
0.928571,0.000000 
1.000000,0.000000 
0.857143,0.000000 
0.882353,0.000000 
1.000000,0.000000 
0.000000,0.000000 
0.944444,0.025000 
0.900000,0.000000 
0.933333,0.000000 
0.942149,0.000000 
0.913043,0.000000 
0.563830,0.166667 
0.929648,0.000000 
0.738462,0.105263 
0.911765,0.000000 
0.836314,0.053659 
0.265957,0.275362 
0.762195,0.076923 
0.882353,0.000000 
0.312500,0.363636 
0.857143,0.473684 
0.792627,0.067568 
0.648649,0.076923 
0.803828,0.023810 
0.861111,0.368421 
1.000000,0.000000 
0.500000,0.000000 
0.866667,0.000000 
0.500000,0.000000 
0.970760,0.063830 
0.961538,0.000000 
0.884259,0.123077 
0.746479,0.000000 
0.892157,0.238095 
0.943038,0.000000 
0.743902,0.043478 
0.900000,0.000000 
0.956155,0.269231 
0.962804,0.220930 
0.956873,0.041667 
0.947368,0.250000 
0.936170,0.000000 
0.833333,0.000000 
0.893333,0.285714 
0.964630,0.173469 
0.950980,0.000000 
0.976636,0.000000 
0.963394,0.017857 
0.962441,0.085714 
0.952247,0.116788 
0.827586,0.166667 
0.854167,0.166667 
0.830769,0.117647 
0.883721,0.000000 
0.894472,0.026316 
0.500000,0.000000 
0.777778,0.294118 
1.000000,0.250000 
0.604938,0.096774 
0.666667,0.000000 
0.621622,0.000000 
0.928571,0.000000 
1.000000,0.000000 
0.972727,0.083333 
1.000000,0.000000 
0.935484,0.000000 
0.944444,0.000000 
0.820122,0.150538 
0.903846,0.000000 
0.500000,0.000000 
0.821429,0.000000 
0.909091,0.000000 
0.333333,0.000000 
0.772727,0.750000 
0.813528,0.056075 
1.000000,0.000000 
0.924731,0.000000 
0.983333,0.000000 
0.863636,0.036585 
0.966667,0.500000 
0.782609,0.106383 
0.969136,0.068966 
0.000000,0.000000 
0.000000,0.000000 
